22/02/2024
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
531497	Madhucon Projects Ltd.	737.94940
531499	Sybly Industries Ltd.	91.56653
531500	Rajesh Exports Ltd.	2952.59959
531502	Esaar (India) Ltd.	204.42500
531503	Maris Spinners Ltd.	81.72360
531505	Indergiri Finance ltd.	50.61000
531506	Shukra Bullions Limited	50.15300
531508	Eveready Industries India Ltd.	726.87260
531509	Step Two Corporation Ltd.	42.47300
531512	Orient Tradelink Ltd.	122.65000
531515	Mahan Industries Ltd.	360.00000
531518	VIKAS PROPPANT & GRANITE LTD.	5146.75000
531521	Desh Rakshak Aushdhalaya Ltd.	44.38324
531524	I.C.S.A. (India) Ltd.	481.38500
531525	Ace Software Exports ltd.	46.80000
531529	Softrak Venture Investments Lt	450.77900
531530	Betala Global Securities Ltd.	13.75000
531531	Hatsun Agro Products Ltd.	2227.48268
531533	ACCEDERE LIMITED	50.27100
531536	Sriven Multi-Tech Ltd	99.44800
531537	Jyothi Infraventures Ltd.	51.59600
531539	Rishabh Digha Steel And Allied	54.86400
531540	Maruti Infrastructure Ltd.	125.00000
531541	KOBO BIOTECH LIMITED	238.25000
531543	Jindal Worldwide Ltd.	2005.20400
531547	Tirupati Industries (India) Lt	86.70040
531548	Somany Ceramics Limited	410.03620
531550	Jhaveri Credits & Capital Ltd.	64.63300
531552	Raghunath Tobacco Co. Ltd.	120.01170
531553	DISHA RESOURCES LIMITED	73.15500
531556	Coral India Finance And Housin	403.02225
531557	Amit Securities Ltd.	71.00000
531560	Aroma Enterprises (India) Ltd.	48.80800
531562	Pushpsons Industries Ltd.	58.90900
531568	Ashutosh Paper Mills Ltd.	65.25400
531569	Sanjivani Paranteral Ltd.	99.98300
531572	Ranjit Securities Ltd.	26.87400
531574	Vas Infrastructure  Ltd.	151.29400
531578	KMF Builders & Developers Ltd.	121.82000
531582	Beryl Securities Ltd	48.49700
531583	Rap Media Ltd.	58.81000
531585	Devine Impex Limited	95.32200
531591	Bampsl Securities Ltd.	335.54302
531592	GENPHARMASEC LIMITED	2768.59850
531594	Incon Engineers Ltd.	43.27100
531595	Capri Global Capital Limited	2062.34993
531597	Midland Polymers Ltd.	1358.74700
531599	FDC Ltd.	1628.10084
531600	Gogia Capital Services Limited	63.21106
531608	Gorani Industries Ltd.	53.62600
531609	KG Petrochem Ltd.	52.21000
531610	UFM Industries Ltd	59.32600
531611	Aadhaar Ventures India Limited	1570.96900
531613	Meyer Apparel Limited	804.97800
531615	Era Buildsys Limited	685.92956
531616	Starcom Information Technology	50.00600
531621	CENTERAC TECHNOLOGIES LIMITED	110.34700
531624	Country Condo's Ltd	775.97300
531625	Sangam Health Care Products Lt	148.60700
531626	Orosil Smiths India Limited	413.16000
531628	TEJASSVI AAHARAM LIMITED	70.00000
531633	Lincoln Pharmaceuticals ltd.	200.00000
531635	Silver Oak (India) Ltd.	37.90200
531637	PRAVEG LIMITED	228.39588
531638	Suraj Ltd.	183.64100
531640	Suvidha Infraestate Corporatio	88.96000
531642	Marico Limited	12939.04908
531644	Tokyo Finance Ltd.	69.70100
531647	B.J.Duplex Boards Ltd.	51.81200
531648	Mahavir Industries Limited	200.00000
531650	Vax Housing Finance Corporatio	120.06400
531651	National General Industries Lt	55.30259
531652	Thirdwave Financial Intermedia	22.07600
531653	Chhabra Spinners ltd.	53.10000
531658	ABATE AS INDUSTRIES LIMITED	50.16100
531661	Hittco Tools Ltd.	61.59847
531663	YUVRAAJ HYGIENE PRODUCTS LTD	906.56406
531667	RR METALMAKERS INDIA LIMITED	90.08824
531668	Vision Corporation Ltd.	199.70100
531671	Bisil Plast Limited	540.31000
531672	Inani Securities Ltd.	45.57700
531673	Anka India Ltd.	87.37714
531676	Vaghani Techno-Build Limited	52.20000
531677	Aris International Limited	15.00000
531680	Mayur Leather Products Ltd.	48.34800
531681	AMERISE BIOSCIENCES LIMITED	660.69000
531682	CAT Technologies Ltd	794.36478
531685	Frontline Financial Services L	59.01100
531686	Advik Laboratories Ltd.	191.11400
531687	Karuturi Global Limited	10197.26648
531688	Prithvi Exchange (India) Limit	82.49650
531692	Khyati Multimedia-Entertainmen	92.80200
531694	Rainbow Foundations Ltd	496.17900
531696	VSD Confin ltd.	175.50700
531712	Trilogic Digital Media Limited	236.82600
531716	Tricom Fruit Products Limited	159.39050
531717	Vidhi Specialty Food Ingredien	499.45000
531719	Bhagiradha Chemicals and Indus	104.05483
531723	GACM Technologies Limited	3402.87057
531724	HRB Flouriculture Ltd.	22.76300
531726	Panchsheel Organic Ltd.	117.81750
531727	Menon Pistons Ltd.	510.00000
531735	Prism Finance Ltd.	65.00300
531737	Greencrest Financial Services	3655.08000
531738	Silicon Valley Infotech Ltd.	1296.80000
531739	Gennex Laboratories Ltd	1774.47674
531743	Hira Automobiles Ltd.	27.53440
531744	Gini Silk Mills Ltd.	55.92600
531746	Prajay Engineers Syndicate Ltd	699.35791
531752	BIOGEN PHARMACHEM INDUSTRIES L	6526.03000
531758	G.k.Consultants Ltd.	53.11800
531761	APOLLO PIPES LIMITED	393.53206
531762	Unjha Formulations Ltd.	44.80500
531768	Poly Medicure Ltd	959.70717
531769	PFL Infotech Ltd.	74.78100
531771	SHRADDHA PRIME PROJECTS LTD	202.00500
531775	Cistro Telelink Ltd.	513.43000
531778	Kachchh Minerals Ltd.	53.00900
531779	Padmanabh Alloys & Polymers Lt	54.13300
531780	Kaiser Corporation Limited	526.21020
531781	Sapan Chemicals Limited	80.00000
531784	KCL Infra Projects Limited	1688.93763
531794	Seshachal Technologies Ltd	69.43600
531795	Atul Auto Limited	277.51280
531797	Scan Projects Ltd	28.73300
531802	Prerna Infrabuild Limited	361.27530
531810	Metal Coatings (India) Ltd.	73.26800
531812	SGN Telecoms Ltd.	808.09900
531813	Ganga Papers India Ltd	107.88886
531814	Tirupati Sarjan Ltd.	329.98025
531819	Nuway Organic Naturals (India)	95.85000
531821	Munoth Financial Services Ltd.	51.35300
531822	Rodium Realty Limited	32.47900
531825	RCC Cements Ltd	56.02000
531832	Nagarjuna Agritech Ltd.	93.69100
531834	Natura Hue Chem Ltd.	41.45300
531840	IEC Education Limited	152.60000
531841	Indus Finance Limited	92.58300
531842	Lahoti Overseas Ltd.	291.71500
531845	ZENITH STEEL PIPES AND  INDUST	1422.80448
531846	Trinity League India Limited	79.16900
531847	Asian Star Co. Ltd.	160.06800
531855	Prabhav Industries Limited	460.89100
531859	ORIENTAL RAIL INFRASTRUCTURE L	539.03000
531861	Joindre Capital Services Ltd.	138.36460
531862	Bharat Agri Fert and Realty Lt	528.55110
531863	Sigrun Holdings Limited	5352.40220
531866	Aagam Capital Limited	50.00000
531867	Unitech International Ltd	101.00700
531869	Sacheta Metals Ltd.	250.00000
531870	Popular Estate Management Ltd	140.00200
531878	Anjani Finance Ltd	101.43300
531881	Gujarat Metallic Coal & Coke L	19.80658
531885	SVA India Ltd	33.02600
531887	Rahul Merchandising ltd.	35.12250
531888	Rexnord Electronics & Controls	111.60000
531889	INTEGRATED INDUSTRIES LIMITED	82.03951
531892	Khandwala Securities Ltd.	152.53805
531893	Sawaca Business Machines Ltd.	1144.09900
531895	Global Knitfab Ltd.	83.22800
531898	Sanguine Media Ltd.	1141.00000
531900	CCL International Ltd	191.92600
531902	Gallops Enterprise  Limited	50.11400
531909	CROISSANCE LIMITED	685.48000
531910	Madhuveer Com 18 Network Limit	94.80700
531911	Galaxy Agrico Exports Ltd.	27.31620
531913	Gopal Iron & Steels Co.(Gujara	49.17100
531917	Twinstar Industries Limited	225.00000
531918	Hindustan Appliances Ltd	100.26000
531921	Agarwal Industrial Corporation	149.57789
531923	Dhampure Speciality Sugars Ltd	79.31200
531925	Shantanu Sheorey Aquakult ltd.	348.80000
531928	Golden Carpets Limited.	64.90159
531929	Innocorp Limited	79.41400
531930	Sarthak Industries Ltd.	92.91800
531931	Sai Capital Ltd.	28.79300
531936	Blue Chip India Ltd	553.04340
531944	SERVOTEACH INDUSTRIES LTD	39.29000
531946	Chadha Papers Ltd.	102.04040
531950	Vertex Securities Ltd.	740.12189
531952	Riba Textiles Ltd.	96.52870
531953	GCCL Construction And Realitie	120.01400
531959	Newtime Infrastructure Limited	1703.46000
531960	Kashyap Tele-Medicines Limited	477.22000
531962	Shree Metalloys Limited	52.56300
531968	IITL PROJECTS LIMITED	49.90900
531971	Hari Govind International Ltd.	50.00000
531972	Trident Tools Limited	140.40000
531977	Chartered Logistics Ltd	993.40000
531978	Ambika Cotton Mills Ltd.	57.25000
531979	HIND ALUMINIUM INDUSTRIES LTD.	63.00200
531980	Senthil Infotek Limited	50.50000
531982	Spectrum Foods Limited	48.48386
531989	Deccan Polypacks Ltd	21.15000
531991	Amraworld Agrico Ltd.	1203.00000
531994	Auto Pins (India) Ltd.	57.07062
531996	Odyssey Corporation Ltd.	393.94200
531997	VUENOW INFRATECH LIMITED	232.01500
532001	Inducto Steels ltd.	40.17254
532005	Sam Industries Ltd.	110.88470
532007	Shree Vatsaa Finance & Leasing	101.00000
532011	Pooja Entertainment and Films	350.03500
532015	Gravity (India) Ltd.	90.01950
532016	ESPIRE HOSPITALITY LIMITED	135.00400
532019	LCC Infotech Ltd.	1265.93350
532022	Filatex Fashions Ltd	16668.14545
532024	R.B.Gupta Financials Ltd.	59.60000
532029	Sindhu Trade Links Limited	15419.28780
532033	Jain Studios Ltd.	254.35982
532034	Safal Herbs Limited	1000.00000
532035	Unistar Multimedia Ltd	250.00700
532038	Emmsons International Limited	119.96040
532039	Zenotech Laboratories Limited	610.30568
532041	Hindustan Bio Sciences Ltd.	102.50800
532042	Frontline Corporation Limited	50.00000
532051	Swelect Energy Systems Limited	151.58760
532053	Wallfort Financial Services Lt	96.87200
532054	KDDL Ltd	125.37117
532056	Adinath Exim Resources Ltd.	43.19100
532057	Abhinav Capital Services Limit	69.24600
532067	3B BlackBio Dx Limited	75.08100
532070	Sumuka Agro Industries Limited	71.07170
532072	Interworld Digital Ltd.	4783.77000
532078	MONIND LIMITED	36.81262
532081	KSS Limited	20793.86340
532083	Shri Kalyan Holdings Ltd.	99.74500
532090	Vandana Knitwear Limited	1069.85070
532092	EPUJA SPIRITECH LIMITED	401.42125
532100	Indo-City Infotech Ltd.	104.00000
532102	SBEC Sugar Ltd.	476.53880
532105	Mega Fin (India) Ltd.	81.75500
532113	Brijlaxmi Leasing & Finance lt	56.48500
532123	BSEL ALGO LIMITED	826.16840
532124	Reliable Ventures India Ltd	110.12900
532131	Triumph International Finance	75.00000
532134	Bank Of Baroda	51713.62179
532138	SMC Credits ltd.	250.55500
532139	G-Tech Info-Training Ltd.	35.00000
532140	Mohite Industries Limited	200.99700
532141	Andhra Cement Ltd.	921.72140
532143	SKM Egg Products Exports (Indi	263.30000
532144	Welspun Corp Limited	2616.66895
532145	H.S.India Ltd.	162.38400
532149	Bank of India	45526.67866
532150	Indraprastha Medical Corporati	916.73000
532154	JOHNSON PHARMACARE LIMITED	5500.00000
532155	Gail (India) Ltd.	65750.99643
532156	Vaibhav Global Ltd	1655.91388
532159	TRESCON LIMITED	724.86600
532160	Gujarat State Financial corpor	891.14000
532161	Baffin Engineering Projects Lt	200.00000
532162	JK Paper Ltd.	1694.02344
532163	Saregama India Ltd.	1928.09490
532164	Minolta Finance Ltd.	100.00000
532166	Alka Securities Ltd.	959.40000
532167	Omkar Pharmachem Ltd.	100.84800
532172	Adroit Infotech Limited	216.67372
532173	Cybertech Systems and Software	311.05593
532174	ICICI Bank Ltd.	70185.51806
532175	Cyient Limited	1108.32761
532178	Engineers India Ltd.	5620.42373
532180	Dhanlaxmi Bank Limited	2530.12084
532181	Gujarat Mineral Development Co	3180.00000
532183	Gayatri Sugars Ltd.	585.36976
532187	IndusInd Bank Ltd.	7781.80677
532189	India Tourism Development Corp	857.69400
532209	Jammu and Kashmir Bank Ltd.	11011.82463
532210	City Union Bank Ltd	7406.39579
532212	Archies Ltd.	337.80000
532215	AXIS Bank Ltd.	30853.94708
532216	HB Stockholdings Ltd.	71.37665
532217	Siel Financial Services Ltd.	113.43752
532218	South Indian Bank Ltd.	20927.41018
532219	Energy Development Company Ltd	475.00000
532221	Sonata Software Ltd.	2804.24816
532230	Bengal Tea & fabrics Ltd.	90.05985
532234	National Aluminium Co. Ltd.	18366.31787
532240	India Nippon Electricals Ltd	226.21424
532256	Nalwa Sons Investment Ltd	51.36163
532259	Apar Industries Ltd	401.68315
532262	TCI Industries Ltd.	8.96791
532268	ACCELYA SOLUTIONS INDIA LIMITE	149.26261
532271	ORCHASP LIMITED	1498.41358
532275	Landmarc Leisure Corporation L	8000.00000
532281	HCL Technologies Ltd	27136.65096
532284	TCFC Finance Ltd	104.82129
532285	Geojit Financial Services Limi	2391.44482
532286	Jindal Steel & Power Ltd	10200.88097
532290	BLB Limited	528.65258
532296	Glenmark Pharmaceuticals ltd	2821.68156
532300	Wockhardt Ltd	1441.09173
532301	Tata Coffee Ltd	1867.70370
532303	Integrated Hi-tech ltd.	100.04600
532304	KJMC Corporate Advisors (India	39.26440
532305	Ind-Swift Laboratories Ltd.	590.86860
532307	Melstar Information Technologi	142.83139
532309	GE Power India Limited	672.27471
532310	Shree Rama Multi-tech Ltd.	1334.68005
532313	Mahindra Lifespace Developers	1549.81368
532315	Telesys Software Ltd.	204.66529
532316	S Kumars.com Ltd.	286.25000
532320	Vaarad Ventures Ltd	2499.03000
532321	Zydus Lifesciences Limited	10122.04139
532323	Shiva Cement Ltd.	1950.00000
532324	Cinevista Limited	574.36475
532326	Intense Technologies	234.67449
532329	Danlaw Technologies India Ltd.	48.70667
532330	Biopac India Corporation Ltd	172.50100
532331	Ajanta Pharma Ltd.	1259.15655
532332	Cura Technologies Limited	95.55000
532333	HB Portfolio Ltd.	107.64230
532334	HB Estate Developers Ltd.	194.59947
532335	Ambica Agarbathies & Aroma Ind	171.77400
532336	Baron Infotech Ltd.	102.00000
532339	Compucom Software Lt.	791.25188
532340	Omni Axs Software Ltd.	99.74900
532341	IZMO Limited	134.44073
532342	Commex Technology Limited	1551.06990
532343	TVS Motor Company Ltd.	4750.87114
532344	SoftSol India Limited.	147.63689
532345	ALLCARGO GATI LIMITED	1302.37337
532348	Subex  Ltd	5620.02935
532349	Transport Corporation of India	776.70925
532350	Padmalaya Telefilms Ltd.	170.00000
532351	Aksh Optifibre Ltd.	1626.97971
532354	Virgo Global Limited	105.04300
532355	Picturehouse Media Limited	522.50000
532356	Triveni Engineering & Industri	2188.97968
532357	Mukta Arts Ltd.	225.85200
532359	Hit Kit Global Solutions Ltd	370.00000
532362	Nagpur Power & Industries Ltd	130.95507
532364	Cyberscape Multimedia Ltd.	101.02500
532365	Dynacons Systems & Solutions L	126.93080
532366	PNB Gilts Ltd	1800.10134
532368	BRIGHTCOM GROUP LIMITED	20179.21873
532369	Ramco Industries Ltd	868.09060
532370	Ramco Systems Ltd	354.03271
532371	Tata Teleservices (Maharashtra	19549.27727
532372	Virinchi Limited	916.62621
532373	WEP Solutions Ltd	364.07112
532374	Sterlite Technologies Limited.	3990.85714
532375	Tips Industries Limited	1284.26590
532376	MRO-TEK Realty Limited	186.84602
532378	Universal Arts Ltd	91.69900
532379	FIRST FINTEC LIMITED	104.02755
532380	Baba Arts Ltd	525.00000
532382	Balaji Telefilms Ltd.	1011.30443
532384	Tyche Industries Ltd.	102.50000
532386	California Software Co. Ltd.	154.57106
532387	Pritish Nandy Communications L	144.67000
532388	Indian Overseas Bank	189024.12256
532389	Valecha Engineering Ltd.	225.30025
532390	Taj GVK Hotels & Resorts Ltd.	627.01495
532391	Opto Circuits (India) Ltd.	3006.25744
532392	Creative Eye Ltd.	200.58250
532395	AXISCADES TECHNOLOGIES LIMITED	417.80243
532397	KONNDOR INDUSTRIES LIMITED	55.18200
532398	Usha Martin Education & Soluti	264.15811
532400	BIRLASOFT LIMITED	2759.37421
532402	USG Tech Solutions Ltd	394.14210
532403	Fourth Generation Information	35.50000
532404	Saven Technologies Ltd.	108.78748
532406	Avantel Limited	2432.69580
532407	MOSCHIP TECHNOLOGIES LIMITED	1881.35799
532408	Megasoft Ltd.	737.70041
532410	Transcorp International Ltd.	318.56794
532411	Visesh Infotecnics Ltd.	37744.36655
532413	Cerebra Integrated Technologie	1211.86482
532416	Next Mediaworks Ltd	668.92908
532419	Smartlink Holdings Limited	99.75000
532424	Godrej Consumer Products Ltd.	10228.20329
532425	GENUS PRIME INFRA LIMITED	149.26440
532430	BF Utilities Ltd.	376.67628
532432	United Spirits Limited	7273.50853
532435	Sanmit Infra Limited	1580.07500
532439	OLECTRA GREENTECH LIMITED	820.80737
532440	MPS Limited	171.05816
532441	Rainbow Denim Ltd.	132.83743
532443	Cera Sanitaryware Ltd.	130.05874
532444	T. Spiritual World Ltd.	200.02000
532454	Bharti Airtel  Ltd.	56287.97622
532455	Shalimar Wires Industries Ltd.	427.55123
532456	Compuage Infocom Ltd	857.68064
532457	Gulshan Polyols Ltd.	623.70586
532460	Ponni Sugars (Erode) Ltd.	85.98418
532461	Punjab National Bank	110110.15558
532466	Oracle Financial Services Soft	866.41764
532467	Hazoor Multi Projects Limited	151.59659
532468	Kama Holdings Limited	320.90575
532470	Mather & Platt Fire Systems Lt	1.70132
532475	Aptech Ltd.	579.91074
532477	Union Bank of India	74124.48217
532478	United Breweries Ltd.	2644.05149
532479	ISMT Limited	3005.01383
532481	Noida Toll Bridge Company Ltd	1861.95002
532482	Granules India Ltd.	2423.68716
532483	Canara Bank	18141.30252
532485	Balmer Lawrie Investments Ltd.	221.97269
532486	Pokarna Ltd.	310.04000
532488	Divi's Laboratories Ltd.	2654.68580
532493	Astra Microwave Products Ltd.	949.45008
532497	Radico Khaitan Ltd.	1337.07603
532500	Maruti Suzuki India  Ltd.	3144.02574
532503	Rajapalayam Mills Limited	92.20200
532504	Navin Fluorine International L	495.78395
532505	UCO Bank	119559.58176
532507	B.A.G. Films & Media Ltd	1979.18090
532508	Jindal Stainless Limited	8234.34588
532509	Suprajit Engineering Ltd.	1384.49332
532513	TVS Electronics Ltd.	186.50318
532514	Indraprashtha Gas Ltd.	7000.00800
532515	T.V.Today Network Limited	596.68615
532521	Palred Technologies Limited	122.32567
532522	PETRONET LNG LTD.	15000.00088
532523	Biocon Ltd.	12006.00000
532524	PTC India Ltd	2960.08321
532525	Bank of maharashtra	70813.73639
532527	ramkrishna forgings Ltd.	1807.76179
532528	Datamatics Global Services Lim	590.04030
532529	New Delhi Television Limited	644.71267
532531	STRIDES PHARMA SCIENCE LIMITED	918.99714
532532	Jaiprakash Associates Limited	24545.95640
532538	UltraTech Cement Ltd	2886.87674
532539	UNO Minda Limited	5732.18496
532540	Tata Consultancy Services Ltd.	36180.87518
532541	COFORGE LIMITED	617.92124
532543	GP Petroleums Limited	509.84383
532548	Century Plyboards (India) Ltd.	2221.72990
532553	Welspun Enterprises Limited	1384.13810
532555	NTPC Limited	96966.66134
532604	S.A.L. Steel Ltd.	849.66700
532605	JBM Auto Limited	1182.47132
532609	Bharati Defence and Infrastruc	502.98942
532610	Dwarikesh Sugar Industries Ltd	1883.01470
532612	Indoco Remedies Ltd.	921.50355
532613	VIP Clothing Limited	825.96519
532614	Impex Ferro tech Ltd.	879.31604
532616	Xchanging Solutions Limited	1114.03716
532617	Jet Airways (India) Ltd	1135.97383
532621	Morarjee Textiles Limited	363.32349
532623	N.R.International Limited	106.74395
532624	Jindal Photo Limited	102.58326
532626	Pondy Oxides & Chemicals Limit	116.24780
532627	Jaiprakash Power Ventures Limi	68534.58827
532628	3i Infotech limited	1688.79752
532629	McNally Bharat Engineering Com	1721.51757
532630	Gokaldas Exports Ltd	606.51494
532633	Allsec Technologies Ltd.	152.38326
532636	IIFL FINANCE LIMITED	3814.83105
532637	Mangalam Drugs and Organics Lt	158.28248
532638	Shoppers Stop Ltd	1099.49497
532640	Cyber Media (India) Ltd.	156.67242
532641	Nandan Denim Limited	1441.47168
532642	JSW Holdings Limited	110.99625
532644	J.K. CEMENT LTD	772.51341
532645	Beeyu Overseas Ltd.	141.41453
532646	Uniply Industries Ltd.	1652.13420
532648	Yes Bank Ltd.	287660.93794
532649	Nectar Lifesciences Limited	2242.60970
532650	MSP STEEL & POWER LTD.	3854.15000
532651	SPL INDUSTRIES LIMITED	290.00004
532652	Karnataka Bank Ltd.	3470.45510
532654	McLeod Russel India Limited	1044.55735
532656	FACOR Alloys Limited	1955.47355
532657	FACOR Steels Limited	2067.83653
532658	Eon Electric Ltd	169.02466
532659	IDFC LIMITED	15999.84436
532660	Vivimed Labs Ltd.	829.13915
532661	Rane (Madras)  Ltd.	162.65267
532662	HT Media Ltd	2327.48314
532663	Sasken Technologies Limited	150.77941
532665	Rajvir Industries Limited	39.94860
532666	FCS Software Solutions Ltd.	17095.53100
532667	SUZLON ENERGY LTD.	135955.67917
532668	Aurionpro Solutions Ltd.	248.15165
532669	Southern Online Bio Technologi	589.93288
532670	Shree Renuka Sugars Ltd.	21284.89773
532673	K. M. Sugar Mills Ltd.	920.00170
532674	Bannari Amman Spinning Mills L	648.41871
532676	PBA INFRASTRUCTURE LTD.	135.00562
532678	Bombay Rayon Fashions Ltd.	3174.76479
532683	AIA Engineering Ltd.	943.20370
532684	Everest Kanto Cylinders Ltd.	1122.07682
532686	Kernex Microsystems (India) Lt	156.09422
532687	Repro India Ltd.	142.97288
532689	PVR INOX LIMITED	981.34446
532692	Radha Madhav Corporation Ltd.	912.95775
532693	Punj LLoyd Ltd	3355.95745
532694	Bartronics India Ltd.	3045.76740
532695	Celebrity Fashions Ltd.	540.54113
532696	Educomp Solutions Ltd	1224.67168
532698	Nitin Spinners Ltd.	562.20000
532699	Royal Orchid Hotels Ltd	274.25215
532700	Entertainment Network (India)	476.70415
532701	CELLA SPACE LIMITED	201.51217
532702	Gujarat State Petronet Ltd.	5642.11376
532705	Jagran Prakashan Limited	2176.54272
532707	Dynemic Products Ltd.	120.28387
532708	GVK Power & Infrastructure Ltd	15792.10400
532710	Sadbhav Engineering Ltd.	1715.70800
532712	Reliance Communications Limite	27655.33050
532713	Sakuma Exports Ltd.	2345.59430
532714	KEC International Ltd.	2570.88370
532715	Gitanjali Gems Ltd.	1186.16005
532716	Gillanders Arbuthnot & Co. Ltd	213.42346
532717	Indo Tech Transformers Limited	106.20000
532718	Pratibha Industries Ltd.	2385.97348
532719	B L Kashyap and Sons Ltd	2254.40000
532720	Mahindra & Mahindra Financial	12355.29920
532721	Visa Steel Limited	1157.89500
532722	Nitco Ltd.	718.58955
532723	MPDL LIMITED	74.12524
532725	Solar Industries India Limited	904.90055
532726	GALLANTT ISPAT LIMITED	2412.80945
532728	Malu Paper Mills Limited	170.59250
532729	Uttam Sugar Mills Ltd	381.38120
532730	STL Global Ltd	274.52680
532732	Kewal Kiran Clothing Ltd.	616.25185
532733	SUN TV NETWORK LIMITED	3940.84620
532734	GODAWARI POWER AND ISPAT LTD.	1359.44988
532735	R Systems International Limite	1183.03445
532737	Emkay Global Financial Service	246.90776
532738	Tantia Constructions Limited	1550.00000
532740	Lokesh Machines Limited	178.96770
532741	Kamdhenu Limited	269.35500
532742	PAUSHAK LIMITED (formerly know	30.82114
532744	GTN Textiles Ltd. (formerly kn	116.40478
532745	Inditrade Capital Limited	233.53626
532746	Unity Infraprojects Limited	1208.76802
532748	Prime Focus Limited	2998.48644
532749	Allcargo Logistics Ltd	9827.82096
532751	EASUN REYROLLE LTD.	307.94141
532754	GMR AIRPORTS INFRASTRUCTURE LI	60359.45275
532755	Tech Mahindra Limited	9763.97727
532756	CIE Automotive India Limited	3793.62377
532757	VOLTAMP TRANSFORMERS LIMITED	101.17120
532759	ATLANTAA LIMITED	815.00000
532760	DEEP ENERGY RESOURCES LIMITED	320.00000
532761	HOV Services Limited	125.94972
532762	Action Construction Equipments	1190.83196
532764	GeeCee Ventures Limited	209.11729
532766	Richa Industries Limited	234.30000
532767	Gayatri Projects Limited	1871.98685
532768	FIEM INDUSTRIES LIMITED	131.59830
532771	JHS Svendgaard Laboratories Lt	783.96762
532772	DCB Bank Limited	3123.78639
532773	Global Vectra Helicorp Ltd.	140.00000
532774	Inspirisys Solutions Limited	396.16873
532775	GTL Infrastructure Limited	128070.20947
532776	SHIVAM AUTOTECH LIMITED	1222.22222
532777	Info Edge(India) Ltd.	1293.84120
532779	TORRENT POWER LIMITED	4806.16784
532780	Parsvnath Developers Ltd.	4351.81170
532782	SUTLEJ TEXTILES & INDUSTRIES L	1638.28620
532783	LT Foods Limited	3472.52944
532784	Sobha Limited	948.45853
532785	Ruchira Papers Ltd	298.44985
532790	TANLA PLATFORMS LIMITED	1344.59860
532794	Zee Media Corporation Limited	6254.28680
532795	Siti Networks Limited	8720.53848
532796	Lumax Auto Technologies Ltd.	681.57705
532797	AUTOLINE INDUSTRIES LTD.	389.63164
532798	Network 18 Media & Investments	10469.48519
532799	Hubtown Limited	763.35871
532800	TV18 Broadcast Ltd.	17143.60160
532801	Cambridge Technology Enterpris	196.31015
532804	Technocraft Industries (India)	229.61687
532805	Redington Limited	7817.74431
532806	AI CHAMPDANY INDUSTRIES LIMITE	307.53831
532807	Cineline India Limited	342.66434
532808	Pearl Global Industries Limite	435.73824
532809	Firstsource Solutions Ltd.	6969.90826
532810	Power Finance Corporation Ltd	33001.01760
532811	Ahluwalia Contracts (India) Lt	669.87560
532812	Transwarranty Finance Limited	488.74537
532813	C & C Constructions Ltd.	254.45265
532814	Indian Bank	13469.63981
532815	SMS Pharmaceuticals Ltd	846.52030
532817	Oriental Trimex Limited	294.02906
532820	E-Land Apparel Limited	479.90469
532821	Indus Fila Limited	207.44717
532822	VODAFONE IDEA LIMITED	486798.20375
532823	Euro Ceremics Ltd	337.37717
532825	JAGJANANI TEXTILES LIMITED	156.00000
532826	Raj Television Network Ltd	519.13344
532827	Page Industries Ltd.	111.53874
532828	AMD Industries Ltd	191.66749
532829	LEHAR FOOTWEARS LIMITED	168.16299
532830	ASTRAL LIMITED	2686.27009
532831	Abhishek Corporation Ltd	160.08462
532832	Indiabulls Real Estate Limited	5416.75331
532834	Camlin Fine Sciences Ltd	1674.54807
532835	ICRA Limited	96.51231
532839	Dish TV India Limited	18412.56154
532841	SAHYADRI INDUSTRIES LTD.	109.46300
532842	Sree Rayalaseema Hi-Strength H	171.64821
532843	Fortis Healthcare Ltd	7549.58148
532845	TGB Banquets and Hotels Limite	292.86400
532847	HILTON METAL FORGING LIMITED	210.00000
532848	Delta Corp Limited	2677.71097
532850	MIC Electronics Limited	2214.46343
532851	Insecticides India Ltd.	295.97837
532852	McDowell Holdings Limited	139.92258
532853	Asahi Songwon Colors Ltd.	117.87262
532854	NITIN FIRE PROTECTION INDUSTRI	2922.69622
532855	Haryana Capfin Ltd.	52.08681
532856	Time Technoplast Limited	2269.29066
532859	Hinduja Global Solutions Limit	465.20285
532864	Nelcast Limited	870.01200
532866	Quintegra Solutions Limited	268.13830
532867	V2 Retail Limited	345.89341
532868	DLF LIMITED	24753.11706
532869	Tarmat Limited	213.14255
532870	Ankit Metal  & Power Limited	1411.10500
532871	Celestial Biolabs Limited	225.86350
532872	Sun Pharma Advanced Research C	3244.99774
532873	Housing Development & Infrastr	4740.03986
532874	Suryachakra Power Corporation	1496.32960
532875	Allied Digital Services Limite	552.94853
532878	Alpa Laboratories Limited	210.40600
532879	Sir Shadi Lal Enterprises Ltd	52.50000
532880	OMAXE LIMITED	1829.00540
532884	Refex Industries Limited	221.36278
532885	Central Bank of India	86809.39432
532886	SEL Manufacturing Company Limi	331.34700
532887	Neueon Towers Limited	565.44552
532888	ASIAN GRANITO INDIA LIMITED	1267.45316
532889	K.P.R. Mill Ltd.	3418.14000
532890	Take Solutions Ltd	1479.34000
532891	Puravankara Limited	2371.49686
